ID,标签,物种,性别,年龄,,,,,,,,,,,,,,
946,黄喉雉鹑亚成体,黄喉雉鹑,无法区分,亚成体,,,,,,,,,,,,,,,
947,黄喉雉鹑幼体,黄喉雉鹑,无法区分,幼体,,,,,,,,,,,,,,,
948,黄喉雉鹑,黄喉雉鹑,无法区分,无法区分,,,,,,,,,,,,,,,
949,发冠卷尾雄性成体,发冠卷尾,雄性,成体,,,,,,,,,,,,,,,
950,发冠卷尾雌性成体,发冠卷尾,雌性,成体,,,,,,,,,,,,,,,
951,发冠卷尾成体,发冠卷尾,无法区分,成体,,,,,,,,,,,,,,,
952,发冠卷尾雄性亚成体,发冠卷尾,雄性,亚成体,,,,,,,,,,,,,,,
953,发冠卷尾雌性亚成体,发冠卷尾,雌性,亚成体,,,,,,,,,,,,,,,
954,发冠卷尾亚成体,发冠卷尾,无法区分,亚成体,,,,,,,,,,,,,,,
955,发冠卷尾幼体,发冠卷尾,无法区分,幼体,,,,,,,,,,,,,,,
956,发冠卷尾,发冠卷尾,无法区分,无法区分,,,,,,,,,,,,,,,
957,环颈山鹧鸪雄性成体,环颈山鹧鸪,雄性,成体,,,,,,,,,,,,,,,
958,环颈山鹧鸪雌性成体,环颈山鹧鸪,雌性,成体,,,,,,,,,,,,,,,
959,环颈山鹧鸪成体,环颈山鹧鸪,无法区分,成体,,,,,,,,,,,,,,,
960,环颈山鹧鸪雄性亚成体,环颈山鹧鸪,雄性,亚成体,,,,,,,,,,,,,,,
961,环颈山鹧鸪雌性亚成体,环颈山鹧鸪,雌性,亚成体,,,,,,,,,,,,,,,
962,环颈山鹧鸪亚成体,环颈山鹧鸪,无法区分,亚成体,,,,,,,,,,,,,,,
963,环颈山鹧鸪幼体,环颈山鹧鸪,无法区分,幼体,,,,,,,,,,,,,,,
964,环颈山鹧鸪,环颈山鹧鸪,无法区分,无法区分,,,,,,,,,,,,,,,
965,灰树鹊雄性成体,灰树鹊,雄性,成体,,,,,,,,,,,,,,,
966,灰树鹊雌性成体,灰树鹊,雌性,成体,,,,,,,,,,,,,,,
967,灰树鹊成体,灰树鹊,无法区分,成体,,,,,,,,,,,,,,,
968,灰树鹊雄性亚成体,灰树鹊,雄性,亚成体,,,,,,,,,,,,,,,
969,灰树鹊雌性亚成体,灰树鹊,雌性,亚成体,,,,,,,,,,,,,,,
970,灰树鹊亚成体,灰树鹊,无法区分,亚成体,,,,,,,,,,,,,,,
971,灰树鹊幼体,灰树鹊,无法区分,幼体,,,,,,,,,,,,,,,
972,灰树鹊,灰树鹊,无法区分,无法区分,,,,,,,,,,,,,,,
973,燕雀雄性成体,燕雀,雄性,成体,,,,,,,,,,,,,,,
974,燕雀雌性成体,燕雀,雌性,成体,,,,,,,,,,,,,,,
975,燕雀成体,燕雀,无法区分,成体,,,,,,,,,,,,,,,
976,燕雀雄性亚成体,燕雀,雄性,亚成体,,,,,,,,,,,,,,,
977,燕雀雌性亚成体,燕雀,雌性,亚成体,,,,,,,,,,,,,,,
978,燕雀亚成体,燕雀,无法区分,亚成体,,,,,,,,,,,,,,,
979,燕雀幼体,燕雀,无法区分,幼体,,,,,,,,,,,,,,,
980,燕雀,燕雀,无法区分,无法区分,,,,,,,,,,,,,,,
981,白额燕尾雄性成体,白额燕尾,雄性,成体,,,,,,,,,,,,,,,
982,白额燕尾雌性成体,白额燕尾,雌性,成体,,,,,,,,,,,,,,,
983,白额燕尾成体,白额燕尾,无法区分,成体,,,,,,,,,,,,,,,
984,白额燕尾雄性亚成体,白额燕尾,雄性,亚成体,,,,,,,,,,,,,,,
985,白额燕尾雌性亚成体,白额燕尾,雌性,亚成体,,,,,,,,,,,,,,,
986,白额燕尾亚成体,白额燕尾,无法区分,亚成体,,,,,,,,,,,,,,,
987,白额燕尾幼体,白额燕尾,无法区分,幼体,,,,,,,,,,,,,,,
988,白额燕尾,白额燕尾,无法区分,无法区分,,,,,,,,,,,,,,,
989,荒漠猫雄性成体,荒漠猫,雄性,成体,,,,,,,,,,,,,,,
990,荒漠猫雌性成体,荒漠猫,雌性,成体,,,,,,,,,,,,,,,
991,荒漠猫成体,荒漠猫,无法区分,成体,,,,,,,,,,,,,,,
992,荒漠猫雄性亚成体,荒漠猫,雄性,亚成体,,,,,,,,,,,,,,,
993,荒漠猫雌性亚成体,荒漠猫,雌性,亚成体,,,,,,,,,,,,,,,
994,荒漠猫亚成体,荒漠猫,无法区分,亚成体,,,,,,,,,,,,,,,
995,荒漠猫幼体,荒漠猫,无法区分,幼体,,,,,,,,,,,,,,,
996,荒漠猫,荒漠猫,无法区分,无法区分,,,,,,,,,,,,,,,
997,复齿鼯鼠雄性成体,复齿鼯鼠,雄性,成体,,,,,,,,,,,,,,,
998,复齿鼯鼠雌性成体,复齿鼯鼠,雌性,成体,,,,,,,,,,,,,,,
999,复齿鼯鼠成体,复齿鼯鼠,无法区分,成体,,,,,,,,,,,,,,,
1000,复齿鼯鼠雄性亚成体,复齿鼯鼠,雄性,亚成体,,,,,,,,,,,,,,,
1001,复齿鼯鼠雌性亚成体,复齿鼯鼠,雌性,亚成体,,,,,,,,,,,,,,,
1002,复齿鼯鼠亚成体,复齿鼯鼠,无法区分,亚成体,,,,,,,,,,,,,,,
1003,复齿鼯鼠幼体,复齿鼯鼠,无法区分,幼体,,,,,,,,,,,,,,,
1004,复齿鼯鼠,复齿鼯鼠,无法区分,无法区分,,,,,,,,,,,,,,,
1005,金猫雄性成体,金猫,雄性,成体,,,,,,,,,,,,,,,
1006,金猫雌性成体,金猫,雌性,成体,,,,,,,,,,,,,,,
1007,金猫成体,金猫,无法区分,成体,,,,,,,,,,,,,,,
1008,金猫雄性亚成体,金猫,雄性,亚成体,,,,,,,,,,,,,,,
1009,金猫雌性亚成体,金猫,雌性,亚成体,,,,,,,,,,,,,,,
1010,金猫亚成体,金猫,无法区分,亚成体,,,,,,,,,,,,,,,
1011,金猫幼体,金猫,无法区分,幼体,,,,,,,,,,,,,,,
1012,金猫,金猫,无法区分,无法区分,,,,,,,,,,,,,,,
1013,煤山雀雄性成体,煤山雀,雄性,成体,,,,,,,,,,,,,,,
1014,煤山雀雌性成体,煤山雀,雌性,成体,,,,,,,,,,,,,,,
1015,煤山雀成体,煤山雀,无法区分,成体,,,,,,,,,,,,,,,
1016,煤山雀雄性亚成体,煤山雀,雄性,亚成体,,,,,,,,,,,,,,,
1017,煤山雀雌性亚成体,煤山雀,雌性,亚成体,,,,,,,,,,,,,,,
1018,煤山雀亚成体,煤山雀,无法区分,亚成体,,,,,,,,,,,,,,,
1019,煤山雀幼体,煤山雀,无法区分,幼体,,,,,,,,,,,,,,,
1020,煤山雀,煤山雀,无法区分,无法区分,,,,,,,,,,,,,,,
1021,煤山雀,煤山雀,无法区分,无法区分,,,,,,,,,,,,,,,
1022,绿尾虹雉雄性成体,绿尾虹雉,雄性,成体,,,,,,,,,,,,,,,
1023,绿尾虹雉雌性成体,绿尾虹雉,雌性,成体,,,,,,,,,,,,,,,
1024,绿尾虹雉成体,绿尾虹雉,无法区分,成体,,,,,,,,,,,,,,,
1025,绿尾虹雉雄性亚成体,绿尾虹雉,雄性,亚成体,,,,,,,,,,,,,,,
1026,绿尾虹雉雌性亚成体,绿尾虹雉,雌性,亚成体,,,,,,,,,,,,,,,
1027,绿尾虹雉亚成体,绿尾虹雉,无法区分,亚成体,,,,,,,,,,,,,,,
1028,绿尾虹雉幼体,绿尾虹雉,无法区分,幼体,,,,,,,,,,,,,,,
1029,绿尾虹雉,绿尾虹雉,无法区分,无法区分,,,,,,,,,,,,,,,
1030,绿翅短脚鹎雄性成体,绿翅短脚鹎,雄性,成体,,,,,,,,,,,,,,,
1031,绿翅短脚鹎雌性成体,绿翅短脚鹎,雌性,成体,,,,,,,,,,,,,,,
1032,绿翅短脚鹎成体,绿翅短脚鹎,无法区分,成体,,,,,,,,,,,,,,,
1033,绿翅短脚鹎雄性亚成体,绿翅短脚鹎,雄性,亚成体,,,,,,,,,,,,,,,
1034,绿翅短脚鹎雌性亚成体,绿翅短脚鹎,雌性,亚成体,,,,,,,,,,,,,,,
1035,绿翅短脚鹎亚成体,绿翅短脚鹎,无法区分,亚成体,,,,,,,,,,,,,,,
1036,绿翅短脚鹎幼体,绿翅短脚鹎,无法区分,幼体,,,,,,,,,,,,,,,
1037,绿翅短脚鹎,绿翅短脚鹎,无法区分,无法区分,,,,,,,,,,,,,,,
1038,红喉雉鹑雄性成体,红喉雉鹑,雄性,成体,,,,,,,,,,,,,,,
1039,红喉雉鹑雌性成体,红喉雉鹑,雌性,成体,,,,,,,,,,,,,,,
1040,红喉雉鹑成体,红喉雉鹑,无法区分,成体,,,,,,,,,,,,,,,
1041,红喉雉鹑雄性亚成体,红喉雉鹑,雄性,亚成体,,,,,,,,,,,,,,,
1042,红喉雉鹑雌性亚成体,红喉雉鹑,雌性,亚成体,,,,,,,,,,,,,,,
1043,红喉雉鹑亚成体,红喉雉鹑,无法区分,亚成体,,,,,,,,,,,,,,,
1044,红喉雉鹑幼体,红喉雉鹑,无法区分,幼体,,,,,,,,,,,,,,,
1045,红喉雉鹑,红喉雉鹑,无法区分,无法区分,,,,,,,,,,,,,,,
1046,山噪鹛雄性成体,山噪鹛,雄性,成体,,,,,,,,,,,,,,,
1047,山噪鹛雌性成体,山噪鹛,雌性,成体,,,,,,,,,,,,,,,
1048,山噪鹛成体,山噪鹛,无法区分,成体,,,,,,,,,,,,,,,
1049,山噪鹛雄性亚成体,山噪鹛,雄性,亚成体,,,,,,,,,,,,,,,
1050,山噪鹛雌性亚成体,山噪鹛,雌性,亚成体,,,,,,,,,,,,,,,
1051,山噪鹛亚成体,山噪鹛,无法区分,亚成体,,,,,,,,,,,,,,,
1052,山噪鹛幼体,山噪鹛,无法区分,幼体,,,,,,,,,,,,,,,
1053,山噪鹛,山噪鹛,无法区分,无法区分,,,,,,,,,,,,,,,
1054,淡背地鸫雄性成体,淡背地鸫,雄性,成体,,,,,,,,,,,,,,,
1055,淡背地鸫雌性成体,淡背地鸫,雌性,成体,,,,,,,,,,,,,,,
1056,淡背地鸫成体,淡背地鸫,无法区分,成体,,,,,,,,,,,,,,,
1057,淡背地鸫雄性亚成体,淡背地鸫,雄性,亚成体,,,,,,,,,,,,,,,
1058,淡背地鸫雌性亚成体,淡背地鸫,雌性,亚成体,,,,,,,,,,,,,,,
1059,淡背地鸫亚成体,淡背地鸫,无法区分,亚成体,,,,,,,,,,,,,,,
1060,淡背地鸫幼体,淡背地鸫,无法区分,幼体,,,,,,,,,,,,,,,
1061,淡背地鸫,淡背地鸫,无法区分,无法区分,,,,,,,,,,,,,,,
1062,红头咬鹃雄性成体,红头咬鹃,雄性,成体,,,,,,,,,,,,,,,
1063,红头咬鹃雌性成体,红头咬鹃,雌性,成体,,,,,,,,,,,,,,,
1064,红头咬鹃成体,红头咬鹃,无法区分,成体,,,,,,,,,,,,,,,
1065,红头咬鹃雄性亚成体,红头咬鹃,雄性,亚成体,,,,,,,,,,,,,,,
1066,红头咬鹃雌性亚成体,红头咬鹃,雌性,亚成体,,,,,,,,,,,,,,,
1067,红头咬鹃亚成体,红头咬鹃,无法区分,亚成体,,,,,,,,,,,,,,,
1068,红头咬鹃幼体,红头咬鹃,无法区分,幼体,,,,,,,,,,,,,,,
1069,红头咬鹃,红头咬鹃,无法区分,无法区分,,,,,,,,,,,,,,,
1070,贡山麂雄性成体,贡山麂,雄性,成体,,,,,,,,,,,,,,,
1071,贡山麂雌性成体,贡山麂,雌性,成体,,,,,,,,,,,,,,,
1072,贡山麂成体,贡山麂,无法区分,成体,,,,,,,,,,,,,,,
1073,贡山麂雄性亚成体,贡山麂,雄性,亚成体,,,,,,,,,,,,,,,
1074,贡山麂雌性亚成体,贡山麂,雌性,亚成体,,,,,,,,,,,,,,,
1075,贡山麂亚成体,贡山麂,无法区分,亚成体,,,,,,,,,,,,,,,
1076,贡山麂幼体,贡山麂,无法区分,幼体,,,,,,,,,,,,,,,
1077,贡山麂,贡山麂,无法区分,无法区分,,,,,,,,,,,,,,,
1078,领鸺鹠雄性成体,领鸺鹠,雄性,成体,,,,,,,,,,,,,,,
1079,领鸺鹠雌性成体,领鸺鹠,雌性,成体,,,,,,,,,,,,,,,
1080,领鸺鹠成体,领鸺鹠,无法区分,成体,,,,,,,,,,,,,,,
1081,领鸺鹠雄性亚成体,领鸺鹠,雄性,亚成体,,,,,,,,,,,,,,,
1082,领鸺鹠雌性亚成体,领鸺鹠,雌性,亚成体,,,,,,,,,,,,,,,
1083,领鸺鹠亚成体,领鸺鹠,无法区分,亚成体,,,,,,,,,,,,,,,
1084,领鸺鹠幼体,领鸺鹠,无法区分,幼体,,,,,,,,,,,,,,,
1085,领鸺鹠,领鸺鹠,无法区分,无法区分,,,,,,,,,,,,,,,
1086,白眉林鸲雄性成体,白眉林鸲,雄性,成体,,,,,,,,,,,,,,,
1087,白眉林鸲雌性成体,白眉林鸲,雌性,成体,,,,,,,,,,,,,,,
1088,白眉林鸲成体,白眉林鸲,无法区分,成体,,,,,,,,,,,,,,,
1089,白眉林鸲雄性亚成体,白眉林鸲,雄性,亚成体,,,,,,,,,,,,,,,
1090,白眉林鸲雌性亚成体,白眉林鸲,雌性,亚成体,,,,,,,,,,,,,,,
1091,白眉林鸲亚成体,白眉林鸲,无法区分,亚成体,,,,,,,,,,,,,,,
1092,白眉林鸲幼体,白眉林鸲,无法区分,幼体,,,,,,,,,,,,,,,
1093,白眉林鸲,白眉林鸲,无法区分,无法区分,,,,,,,,,,,,,,,
1094,雪鸮雄性成体,雪鸮,雄性,成体,,,,,,,,,,,,,,,
1095,雪鸮雌性成体,雪鸮,雌性,成体,,,,,,,,,,,,,,,
1096,雪鸮成体,雪鸮,无法区分,成体,,,,,,,,,,,,,,,
1097,雪鸮雄性亚成体,雪鸮,雄性,亚成体,,,,,,,,,,,,,,,
1098,雪鸮雌性亚成体,雪鸮,雌性,亚成体,,,,,,,,,,,,,,,
1099,雪鸮亚成体,雪鸮,无法区分,亚成体,,,,,,,,,,,,,,,
1100,雪鸮幼体,雪鸮,无法区分,幼体,,,,,,,,,,,,,,,
1101,雪鸮,雪鸮,无法区分,无法区分,,,,,,,,,,,,,,,
1102,喜鹊雄性成体,喜鹊,雄性,成体,,,,,,,,,,,,,,,
1103,喜鹊雌性成体,喜鹊,雌性,成体,,,,,,,,,,,,,,,
1104,喜鹊成体,喜鹊,无法区分,成体,,,,,,,,,,,,,,,
1105,喜鹊雄性亚成体,喜鹊,雄性,亚成体,,,,,,,,,,,,,,,
1106,喜鹊雌性亚成体,喜鹊,雌性,亚成体,,,,,,,,,,,,,,,
1107,喜鹊亚成体,喜鹊,无法区分,亚成体,,,,,,,,,,,,,,,
1108,喜鹊幼体,喜鹊,无法区分,幼体,,,,,,,,,,,,,,,
1109,喜鹊,喜鹊,无法区分,无法区分,,,,,,,,,,,,,,,
1110,乌灰鸫雄性成体,乌灰鸫,雄性,成体,,,,,,,,,,,,,,,
1111,乌灰鸫雌性成体,乌灰鸫,雌性,成体,,,,,,,,,,,,,,,
1112,乌灰鸫成体,乌灰鸫,无法区分,成体,,,,,,,,,,,,,,,
1113,乌灰鸫雄性亚成体,乌灰鸫,雄性,亚成体,,,,,,,,,,,,,,,
1114,乌灰鸫雌性亚成体,乌灰鸫,雌性,亚成体,,,,,,,,,,,,,,,
1115,乌灰鸫亚成体,乌灰鸫,无法区分,亚成体,,,,,,,,,,,,,,,
1116,乌灰鸫幼体,乌灰鸫,无法区分,幼体,,,,,,,,,,,,,,,
1117,乌灰鸫,乌灰鸫,无法区分,无法区分,,,,,,,,,,,,,,,
1118,灰头灰雀雄性成体,灰头灰雀,雄性,成体,,,,,,,,,,,,,,,
1119,灰头灰雀雌性成体,灰头灰雀,雌性,成体,,,,,,,,,,,,,,,
1120,灰头灰雀成体,灰头灰雀,无法区分,成体,,,,,,,,,,,,,,,
1121,灰头灰雀雄性亚成体,灰头灰雀,雄性,亚成体,,,,,,,,,,,,,,,
1122,灰头灰雀雌性亚成体,灰头灰雀,雌性,亚成体,,,,,,,,,,,,,,,
1123,灰头灰雀亚成体,灰头灰雀,无法区分,亚成体,,,,,,,,,,,,,,,
1124,灰头灰雀幼体,灰头灰雀,无法区分,幼体,,,,,,,,,,,,,,,
1125,灰头灰雀,灰头灰雀,无法区分,无法区分,,,,,,,,,,,,,,,
1126,灰头鸦雀雄性成体,灰头鸦雀,雄性,成体,,,,,,,,,,,,,,,
1127,灰头鸦雀雌性成体,灰头鸦雀,雌性,成体,,,,,,,,,,,,,,,
1128,灰头鸦雀成体,灰头鸦雀,无法区分,成体,,,,,,,,,,,,,,,
1129,灰头鸦雀雄性亚成体,灰头鸦雀,雄性,亚成体,,,,,,,,,,,,,,,
1130,灰头鸦雀雌性亚成体,灰头鸦雀,雌性,亚成体,,,,,,,,,,,,,,,
1131,灰头鸦雀亚成体,灰头鸦雀,无法区分,亚成体,,,,,,,,,,,,,,,
1132,灰头鸦雀幼体,灰头鸦雀,无法区分,幼体,,,,,,,,,,,,,,,
1133,灰头鸦雀,灰头鸦雀,无法区分,无法区分,,,,,,,,,,,,,,,
1134,白尾蓝地鸲雄性成体,白尾蓝地鸲,雄性,成体,,,,,,,,,,,,,,,
1135,白尾蓝地鸲雌性成体,白尾蓝地鸲,雌性,成体,,,,,,,,,,,,,,,
1136,白尾蓝地鸲成体,白尾蓝地鸲,无法区分,成体,,,,,,,,,,,,,,,
1137,白尾蓝地鸲雄性亚成体,白尾蓝地鸲,雄性,亚成体,,,,,,,,,,,,,,,
1138,白尾蓝地鸲雌性亚成体,白尾蓝地鸲,雌性,亚成体,,,,,,,,,,,,,,,
1139,白尾蓝地鸲亚成体,白尾蓝地鸲,无法区分,亚成体,,,,,,,,,,,,,,,
1140,白尾蓝地鸲幼体,白尾蓝地鸲,无法区分,幼体,,,,,,,,,,,,,,,
1141,白尾蓝地鸲,白尾蓝地鸲,无法区分,无法区分,,,,,,,,,,,,,,,
1142,环颈雉雄性成体,环颈雉,雄性,成体,,,,,,,,,,,,,,,
1143,环颈雉雌性成体,环颈雉,雌性,成体,,,,,,,,,,,,,,,
1144,环颈雉成体,环颈雉,无法区分,成体,,,,,,,,,,,,,,,
1145,环颈雉雄性亚成体,环颈雉,雄性,亚成体,,,,,,,,,,,,,,,
1146,环颈雉雌性亚成体,环颈雉,雌性,亚成体,,,,,,,,,,,,,,,
1147,环颈雉亚成体,环颈雉,无法区分,亚成体,,,,,,,,,,,,,,,
1148,环颈雉幼体,环颈雉,无法区分,幼体,,,,,,,,,,,,,,,
1149,环颈雉,环颈雉,无法区分,无法区分,,,,,,,,,,,,,,,
1150,狼雄性成体,狼,雄性,成体,,,,,,,,,,,,,,,
1151,狼雌性成体,狼,雌性,成体,,,,,,,,,,,,,,,
1152,狼成体,狼,无法区分,成体,,,,,,,,,,,,,,,
1153,狼雄性亚成体,狼,雄性,亚成体,,,,,,,,,,,,,,,
1154,狼雌性亚成体,狼,雌性,亚成体,,,,,,,,,,,,,,,
1155,狼亚成体,狼,无法区分,亚成体,,,,,,,,,,,,,,,
1156,狼幼体,狼,无法区分,幼体,,,,,,,,,,,,,,,
1157,狼,狼,无法区分,无法区分,,,,,,,,,,,,,,,
1158,白顶溪鸲雄性成体,白顶溪鸲,雄性,成体,,,,,,,,,,,,,,,
1159,白顶溪鸲雌性成体,白顶溪鸲,雌性,成体,,,,,,,,,,,,,,,
1160,白顶溪鸲成体,白顶溪鸲,无法区分,成体,,,,,,,,,,,,,,,
1161,白顶溪鸲雄性亚成体,白顶溪鸲,雄性,亚成体,,,,,,,,,,,,,,,
1162,白顶溪鸲雌性亚成体,白顶溪鸲,雌性,亚成体,,,,,,,,,,,,,,,
1163,白顶溪鸲亚成体,白顶溪鸲,无法区分,亚成体,,,,,,,,,,,,,,,
1164,白顶溪鸲幼体,白顶溪鸲,无法区分,幼体,,,,,,,,,,,,,,,
1165,白顶溪鸲,白顶溪鸲,无法区分,无法区分,,,,,,,,,,,,,,,
1166,黑短脚鹎雄性成体,黑短脚鹎,雄性,成体,,,,,,,,,,,,,,,
1167,黑短脚鹎雌性成体,黑短脚鹎,雌性,成体,,,,,,,,,,,,,,,
1168,黑短脚鹎成体,黑短脚鹎,无法区分,成体,,,,,,,,,,,,,,,
1169,黑短脚鹎雄性亚成体,黑短脚鹎,雄性,亚成体,,,,,,,,,,,,,,,
1170,黑短脚鹎雌性亚成体,黑短脚鹎,雌性,亚成体,,,,,,,,,,,,,,,
1171,黑短脚鹎亚成体,黑短脚鹎,无法区分,亚成体,,,,,,,,,,,,,,,
1172,黑短脚鹎幼体,黑短脚鹎,无法区分,幼体,,,,,,,,,,,,,,,
1173,黑短脚鹎,黑短脚鹎,无法区分,无法区分,,,,,,,,,,,,,,,
1174,褐头雀鹛雄性成体,褐头雀鹛,雄性,成体,,,,,,,,,,,,,,,
1175,褐头雀鹛雌性成体,褐头雀鹛,雌性,成体,,,,,,,,,,,,,,,
1176,褐头雀鹛成体,褐头雀鹛,无法区分,成体,,,,,,,,,,,,,,,
1177,褐头雀鹛雄性亚成体,褐头雀鹛,雄性,亚成体,,,,,,,,,,,,,,,
1178,褐头雀鹛雌性亚成体,褐头雀鹛,雌性,亚成体,,,,,,,,,,,,,,,
1179,褐头雀鹛亚成体,褐头雀鹛,无法区分,亚成体,,,,,,,,,,,,,,,
1180,褐头雀鹛幼体,褐头雀鹛,无法区分,幼体,,,,,,,,,,,,,,,
1181,褐头雀鹛,褐头雀鹛,无法区分,无法区分,,,,,,,,,,,,,,,
1182,领雀嘴鹎雄性成体,领雀嘴鹎,雄性,成体,,,,,,,,,,,,,,,
1183,领雀嘴鹎雌性成体,领雀嘴鹎,雌性,成体,,,,,,,,,,,,,,,
1184,领雀嘴鹎成体,领雀嘴鹎,无法区分,成体,,,,,,,,,,,,,,,
1185,领雀嘴鹎雄性亚成体,领雀嘴鹎,雄性,亚成体,,,,,,,,,,,,,,,
1186,领雀嘴鹎雌性亚成体,领雀嘴鹎,雌性,亚成体,,,,,,,,,,,,,,,
1187,领雀嘴鹎亚成体,领雀嘴鹎,无法区分,亚成体,,,,,,,,,,,,,,,
1188,领雀嘴鹎幼体,领雀嘴鹎,无法区分,幼体,,,,,,,,,,,,,,,
1189,领雀嘴鹎,领雀嘴鹎,无法区分,无法区分,,,,,,,,,,,,,,,
1190,斑尾榛鸡雄性成体,斑尾榛鸡,雄性,成体,,,,,,,,,,,,,,,
1191,斑尾榛鸡雌性成体,斑尾榛鸡,雌性,成体,,,,,,,,,,,,,,,
1192,斑尾榛鸡成体,斑尾榛鸡,无法区分,成体,,,,,,,,,,,,,,,
1193,斑尾榛鸡雄性亚成体,斑尾榛鸡,雄性,亚成体,,,,,,,,,,,,,,,
1194,斑尾榛鸡雌性亚成体,斑尾榛鸡,雌性,亚成体,,,,,,,,,,,,,,,
1195,斑尾榛鸡亚成体,斑尾榛鸡,无法区分,亚成体,,,,,,,,,,,,,,,
1196,斑尾榛鸡幼体,斑尾榛鸡,无法区分,幼体,,,,,,,,,,,,,,,
1197,斑尾榛鸡,斑尾榛鸡,无法区分,无法区分,,,,,,,,,,,,,,,
1198,暗绿绣眼鸟雄性成体,暗绿绣眼鸟,雄性,成体,,,,,,,,,,,,,,,
1199,暗绿绣眼鸟雌性成体,暗绿绣眼鸟,雌性,成体,,,,,,,,,,,,,,,
1200,暗绿绣眼鸟成体,暗绿绣眼鸟,无法区分,成体,,,,,,,,,,,,,,,
1201,暗绿绣眼鸟雄性亚成体,暗绿绣眼鸟,雄性,亚成体,,,,,,,,,,,,,,,
1202,暗绿绣眼鸟雌性亚成体,暗绿绣眼鸟,雌性,亚成体,,,,,,,,,,,,,,,
1203,暗绿绣眼鸟亚成体,暗绿绣眼鸟,无法区分,亚成体,,,,,,,,,,,,,,,
1204,暗绿绣眼鸟幼体,暗绿绣眼鸟,无法区分,幼体,,,,,,,,,,,,,,,
1205,暗绿绣眼鸟,暗绿绣眼鸟,无法区分,无法区分,,,,,,,,,,,,,,,
1206,红尾伯劳雄性成体,红尾伯劳,雄性,成体,,,,,,,,,,,,,,,
1207,红尾伯劳雌性成体,红尾伯劳,雌性,成体,,,,,,,,,,,,,,,
1208,红尾伯劳成体,红尾伯劳,无法区分,成体,,,,,,,,,,,,,,,
1209,红尾伯劳雄性亚成体,红尾伯劳,雄性,亚成体,,,,,,,,,,,,,,,
1210,红尾伯劳雌性亚成体,红尾伯劳,雌性,亚成体,,,,,,,,,,,,,,,
1211,红尾伯劳亚成体,红尾伯劳,无法区分,亚成体,,,,,,,,,,,,,,,
1212,红尾伯劳幼体,红尾伯劳,无法区分,幼体,,,,,,,,,,,,,,,
1213,红尾伯劳,红尾伯劳,无法区分,无法区分,,,,,,,,,,,,,,,
1214,倭花鼠雄性成体,倭花鼠,雄性,成体,,,,,,,,,,,,,,,
1215,倭花鼠雌性成体,倭花鼠,雌性,成体,,,,,,,,,,,,,,,
1216,倭花鼠成体,倭花鼠,无法区分,成体,,,,,,,,,,,,,,,
1217,倭花鼠雄性亚成体,倭花鼠,雄性,亚成体,,,,,,,,,,,,,,,
1218,倭花鼠雌性亚成体,倭花鼠,雌性,亚成体,,,,,,,,,,,,,,,
1219,倭花鼠亚成体,倭花鼠,无法区分,亚成体,,,,,,,,,,,,,,,
1220,倭花鼠劳幼体,倭花鼠,无法区分,幼体,,,,,,,,,,,,,,,
1221,倭花鼠,倭花鼠,无法区分,无法区分,,,,,,,,,,,,,,,
1222,灰孔雀雉雄性成体,灰孔雀雉,雄性,成体,,,,,,,,,,,,,,,
1223,灰孔雀雉雌性成体,灰孔雀雉,雌性,成体,,,,,,,,,,,,,,,
1224,灰孔雀雉成体,灰孔雀雉,无法区分,成体,,,,,,,,,,,,,,,
1225,灰孔雀雉雄性亚成体,灰孔雀雉,雄性,亚成体,,,,,,,,,,,,,,,
1226,灰孔雀雉雌性亚成体,灰孔雀雉,雌性,亚成体,,,,,,,,,,,,,,,
1227,灰孔雀雉亚成体,灰孔雀雉,无法区分,亚成体,,,,,,,,,,,,,,,
1228,灰孔雀雉幼体,灰孔雀雉,无法区分,幼体,,,,,,,,,,,,,,,
1229,灰孔雀雉,灰孔雀雉,无法区分,无法区分,,,,,,,,,,,,,,,
1230,北红尾鸲雄性成体,北红尾鸲,雄性,成体,,,,,,,,,,,,,,,
1231,北红尾鸲雌性成体,北红尾鸲,雌性,成体,,,,,,,,,,,,,,,
1232,北红尾鸲成体,北红尾鸲,无法区分,成体,,,,,,,,,,,,,,,
1233,北红尾鸲雄性亚成体,北红尾鸲,雄性,亚成体,,,,,,,,,,,,,,,
1234,北红尾鸲雌性亚成体,北红尾鸲,雌性,亚成体,,,,,,,,,,,,,,,
1235,北红尾鸲亚成体,北红尾鸲,无法区分,亚成体,,,,,,,,,,,,,,,
1236,北红尾鸲幼体,北红尾鸲,无法区分,幼体,,,,,,,,,,,,,,,
1237,北红尾鸲,北红尾鸲,无法区分,无法区分,,,,,,,,,,,,,,,
1238,大山雀雄性成体,大山雀,雄性,成体,,,,,,,,,,,,,,,
1239,大山雀雌性成体,大山雀,雌性,成体,,,,,,,,,,,,,,,
1240,大山雀成体,大山雀,无法区分,成体,,,,,,,,,,,,,,,
1241,大山雀雄性亚成体,大山雀,雄性,亚成体,,,,,,,,,,,,,,,
1242,大山雀雌性亚成体,大山雀,雌性,亚成体,,,,,,,,,,,,,,,
1243,大山雀亚成体,大山雀,无法区分,亚成体,,,,,,,,,,,,,,,
1244,大山雀幼体,大山雀,无法区分,幼体,,,,,,,,,,,,,,,
1245,大山雀,大山雀,无法区分,无法区分,,,,,,,,,,,,,,,
1246,栗背短脚鹎雄性成体,栗背短脚鹎,雄性,成体,,,,,,,,,,,,,,,
